"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85"
"1","1","25.779078","31.046394","42.804334","48.086795","57.149629","64.422439","71.182733","75.012305","89.735571","96.947328","108.67634","113.79422","130.28013","155.23328","173.9021","182.62359","200.44238","212.7823","222.97536","238.85627","262.49088","272.87316","281.57448","309.15381","324.09828","332.55318","350.48809","378.2736","398.50303","416.96946","433.13069","458.74787","476.50644","503.77659","518.97102","544.79675","565.90883","591.04682","618.58656","635.41141","647.22814","661.07195","676.51788","693.12462","718.41229","743.13504","782.30794","798.04788","812.87994","854.9179","883.53197","899.6944","914.87386","1032.4676","1088.9967","1207.223","1498.5724","3529.6354","3748.0386","3995.3821","4076.0104","4187.5856","4599.4516","4744.889","5731.2717","5959.5856","7035.9172","7252.0412","7968.2738","8130.7072","8354.3832","9168.2979","9211.2404","0","0","0","0","0","0","0","0","0","0","0"
"2","1","25.684398","30.942482","42.804334","47.957452","57.008614","64.272715","71.182733","75.012305","90.444205","108.871","113.79422","130.28013","155.46591","173.9021","182.62359","194.15048","200.17821","212.51012","222.97536","238.56789","262.49088","272.56493","281.26137","298.41872","309.15381","332.55318","350.13875","378.2736","397.75819","416.96946","433.13069","458.34819","476.09909","485.92353","503.77659","518.12097","545.23249","572.58866","590.59314","603.82066","618.58656","634.00071","646.75338","661.07195","676.0325","691.16044","703.97746","717.9121","731.9833","744.66227","760.02074","798.04788","812.87994","854.37225","882.97726","899.13463","914.3094","3528.5266","3994.2024","4074.8189","4185.1703","4598.1859","4743.6034","5958.1448","7035.9172","7242.5075","7539.3487","7966.6078","8129.0242","8350.9715","9164.7238","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","1","25.779078","31.046394","42.804334","48.086795","57.149629","64.422439","71.182733","75.012305","89.735571","96.947328","108.67634","113.79422","130.28013","155.23328","173.9021","182.62359","200.44238","212.7823","222.97536","238.85627","262.49088","272.87316","281.57448","309.15381","324.09828","332.55318","350.48809","378.2736","398.50303","416.96946","433.13069","458.74787","476.50644","503.77659","518.97102","544.79675","565.90883","591.04682","618.58656","635.41141","647.22814","661.07195","676.51788","693.12462","718.41229","743.13504","782.30794","798.04788","812.87994","854.9179","883.53197","899.6944","914.87386","1032.4676","1088.9967","1207.223","1498.5724","3529.6354","3748.0386","3995.3821","4076.0104","4187.5856","4599.4516","4744.889","5731.2717","5959.5856","7035.9172","7252.0412","7968.2738","8130.7072","8354.3832","9168.2979","9211.2404","0","0","0","0","0","0","0","0","0","0","0"
"4","1","25.684398","30.942482","42.804334","47.957452","57.008614","64.272715","71.182733","75.012305","90.444205","108.871","113.79422","130.28013","155.46591","173.9021","182.62359","194.15048","200.17821","212.51012","222.97536","238.56789","262.49088","272.56493","281.26137","298.41872","309.15381","332.55318","350.13875","378.2736","397.75819","416.96946","433.13069","458.34819","476.09909","485.92353","503.77659","518.12097","545.23249","572.58866","590.59314","603.82066","618.58656","634.00071","646.75338","661.07195","676.0325","691.16044","703.97746","717.9121","731.9833","744.66227","760.02074","798.04788","812.87994","854.37225","882.97726","899.13463","914.3094","3528.5266","3994.2024","4074.8189","4185.1703","4598.1859","4743.6034","5958.1448","7035.9172","7242.5075","7539.3487","7966.6078","8129.0242","8350.9715","9164.7238","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","1","25.779078","31.046394","42.804334","48.086795","57.149629","64.272715","71.182733","75.012305","89.735571","96.947328","108.67634","113.79422","129.42936","155.46591","174.88804","182.62359","200.17821","212.7823","222.97536","238.56789","262.49088","272.87316","281.26137","309.15381","324.09828","332.55318","350.13875","378.2736","397.75819","416.96946","432.74233","458.34819","476.09909","503.77659","519.39631","544.36118","565.4649","591.04682","609.7978","634.941","647.70308","661.07195","676.0325","692.63331","717.9121","743.64394","760.02074","781.26418","798.04788","812.87994","854.37225","882.97726","899.6944","914.87386","1032.4676","1088.3808","1206.5746","3528.5266","3993.0229","4073.6275","4186.3778","4319.0474","4599.4516","4734.609","4845.703","7035.9172","7247.2736","7966.6078","8127.3415","8352.6773","9168.2979","9438.335","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1","25.779078","31.046394","42.804334","47.957452","57.008614","62.489616","71.025345","75.012305","89.735571","96.763637","108.67634","113.79422","130.28013","155.23328","173.9021","182.37144","200.17821","212.51012","222.97536","238.56789","245.53704","262.49088","272.56493","281.26137","298.41872","308.82572","324.09828","332.21289","350.13875","377.91067","397.75819","416.96946","432.74233","458.74787","476.09909","485.92353","503.77659","519.39631","543.92579","565.02114","590.59314","609.33697","634.941","647.70308","676.0325","693.12462","717.9121","741.60939","780.74256","797.52069","812.34787","854.37225","882.97726","899.13463","914.3094","1031.8679","1088.3808","1104.4496","1205.9263","1497.1276","2306.4166","3527.418","3641.3957","3991.8435","4072.4363","4183.9629","4596.9203","4730.7569","7031.2211","7244.096","7963.2762","8123.9765","8347.5606","9162.9371","9432.8959","0","0","0","0","0","0","0","0","0"
"7","1","25.779078","32.839553","42.804334","47.957452","57.008614","62.489616","71.182733","75.012305","89.735571","96.947328","108.67634","113.79422","130.28013","155.23328","173.65605","182.37144","200.44238","212.51012","222.97536","238.56789","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","416.96946","432.74233","458.74787","476.09909","503.77659","519.39631","543.92579","565.4649","591.04682","609.7978","635.41141","648.17819","676.0325","693.12462","718.41229","743.13504","780.74256","797.52069","812.34787","854.37225","882.97726","899.13463","914.87386","1031.8679","1088.3808","1206.5746","1497.8499","2307.3131","3527.418","3993.0229","4073.6275","4185.1703","4317.8208","4598.1859","4730.7569","4845.703","7032.7863","7247.2736","7537.7281","7963.2762","8125.6589","8349.266","9162.9371","9434.7088","0","0","0","0","0","0","0","0","0","0"
"8","1","20.32235","25.684398","30.942482","42.682306","47.957452","62.489616","75.012305","89.735571","108.67634","113.79422","130.28013","155.00081","173.65605","183.12841","200.44238","212.51012","222.97536","238.56789","245.53704","262.49088","272.56493","281.26137","298.41872","308.82572","332.21289","350.13875","377.91067","397.75819","416.96946","433.13069","458.34819","476.09909","485.92353","503.77659","526.6529","543.92579","565.4649","591.04682","609.7978","634.941","648.17819","676.0325","692.63331","717.9121","732.48837","744.15302","759.50626","780.22112","797.52069","812.34787","854.37225","868.61588","883.53197","898.57505","913.74511","1088.3808","1104.4496","1206.5746","1497.1276","3993.0229","4073.6275","4186.3778","4598.1859","7247.2736","7537.7281","7759.725","7964.9419","8125.6589","8350.9715","9168.2979","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","1","25.779078","32.9466","42.804334","48.086795","57.149629","64.272715","71.182733","75.012305","89.558848","96.947328","108.67634","113.79422","130.06718","155.23328","173.9021","182.37144","200.44238","212.51012","222.97536","238.56789","262.49088","272.56493","281.57448","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","416.96946","432.74233","458.74787","476.09909","503.77659","518.54591","544.36118","565.4649","591.04682","618.58656","634.47077","647.22814","661.07195","676.0325","692.63331","718.41229","732.99361","781.26418","798.04788","812.87994","854.37225","882.97726","899.6944","914.87386","1032.4676","1088.9967","1206.5746","1498.5724","3529.6354","3994.2024","4074.8189","4185.1703","4423.9415","4599.4516","4744.889","5959.5856","7035.9172","7542.5904","7966.6078","8129.0242","8350.9715","8826.6155","9166.5108","0","0","0","0","0","0","0","0","0","0","0","0"
"10","1","25.779078","32.839553","42.804334","47.957452","57.149629","64.272715","71.182733","75.012305","89.558848","96.763637","108.67634","113.79422","130.06718","155.23328","173.9021","182.37144","200.44238","212.51012","222.97536","238.56789","262.49088","272.56493","281.26137","298.41872","309.15381","324.09828","332.55318","350.13875","378.2736","398.13052","416.96946","432.74233","458.34819","476.09909","485.92353","503.77659","518.97102","544.36118","565.4649","590.59314","618.58656","634.47077","646.75338","661.07195","676.0325","692.63331","703.97746","717.9121","742.62632","781.26418","797.52069","812.87994","854.37225","882.97726","899.6944","914.87386","1031.8679","1088.9967","1206.5746","1497.8499","3528.5266","3993.0229","4073.6275","4185.1703","4598.1859","4741.0327","5956.7041","7034.3517","7540.9695","7759.725","7964.9419","8125.6589","8349.266","9162.9371","9436.5218","0","0","0","0","0","0","0","0","0"
